Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1mF","ESMQ351VSN102MA50S",171.000000,-74.666750,90.000000,bottom
"C2","1mF","ESMQ351VSN102MA50S",171.000000,-112.666750,90.000000,bottom
"C3","1mF","ESMQ351VSN102MA50S",171.000000,-150.333500,90.000000,bottom
"C4","1mF","ESMQ351VSN102MA50S",171.000000,-188.333500,90.000000,bottom
"R1","14.4","PWR220T-20",100.250000,-187.375000,0.000000,bottom
"U4"," LVE2560E","LVE2560E",142.000000,-178.000000,-90.000000,bottom
"U13","IKCM20L60GA","DIP-24_L36.0-W21.0-P1.60-LS28.6-TL",133.000000,-155.000000,180.000000,bottom
